date,time,greenhouse,roof,plant_no,grafting,salt_stress,shoot_length,no_leaves,no_flowers,no_green_fruit,no_red_fruit,no_infected,no_fruit,weight_shoot,weight_leaves,weight_green_fruit,weight_red_fruit,weight_infected
9/17/2018,1,1,Floatglas,1,without,without,63,13,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,2,without,without,53,13,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,3,without,without,53,11,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,4,without,without,56,12,3,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,5,grafted,without,51,12,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,6,grafted,without,50,11,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,7,grafted,without,57,12,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,8,grafted,without,58,13,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,9,grafted,stress,52,11,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,10,grafted,stress,47,9,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,11,grafted,stress,61,12,2,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,12,grafted,stress,52,10,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,13,without,stress,52,9,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,14,without,stress,59,12,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,15,without,stress,64,12,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,16,without,stress,63,12,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,17,without,without,54,14,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,18,without,without,54,12,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,19,without,without,58,13,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,20,without,without,53,11,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,21,grafted,without,54,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,22,grafted,without,56,11,3,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,23,grafted,without,53,11,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,24,grafted,without,52,12,5,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,25,grafted,stress,59,12,3,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,26,grafted,stress,50,11,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,27,grafted,stress,53,11,5,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,28,grafted,stress,46,8,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,29,without,stress,58,13,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,30,without,stress,55,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,31,without,stress,56,13,3,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,32,without,stress,65,13,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,33,without,without,62,13,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,34,without,without,62,12,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,35,without,without,62,11,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,36,without,without,61,13,5,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,37,grafted,without,58,12,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,38,grafted,without,49,10,3,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,39,grafted,without,59,13,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,40,grafted,without,60,13,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,41,grafted,stress,59,11,2,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,42,grafted,stress,52,11,3,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,43,grafted,stress,63,11,4,4,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,44,grafted,stress,46,11,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,45,without,stress,58,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,46,without,stress,63,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,47,without,stress,55,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,48,without,stress,60,13,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,49,without,without,62,13,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,50,without,without,57,12,5,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,51,without,without,52,11,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,52,without,without,46,11,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,53,grafted,without,52,10,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,54,grafted,without,62,13,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,55,grafted,without,53,11,5,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,56,grafted,without,52,11,3,4,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,57,grafted,stress,47,10,3,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,58,grafted,stress,40,10,5,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,59,grafted,stress,57,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,60,grafted,stress,44,10,2,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,61,without,stress,53,11,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,62,without,stress,60,11,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,63,without,stress,56,12,5,4,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,64,without,stress,55,12,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,65,without,without,48,11,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,66,without,without,53,11,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,67,without,without,53,11,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,68,without,without,55,14,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,69,grafted,without,58,13,5,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,70,grafted,without,66,12,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,71,grafted,without,58,13,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,72,grafted,without,46,10,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,73,grafted,stress,47,14,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,74,grafted,stress,43,10,4,4,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,75,grafted,stress,53,12,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,76,grafted,stress,48,10,2,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,77,without,stress,49,13,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,78,without,stress,53,12,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,79,without,stress,56,12,5,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,5,Solarglas,80,without,stress,59,13,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,81,without,without,60,13,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,82,without,without,61,13,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,83,without,without,62,12,5,5,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,84,without,without,56,14,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,85,grafted,without,51,12,5,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,86,grafted,without,48,10,3,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,87,grafted,without,56,12,5,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,88,grafted,without,56,10,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,89,grafted,stress,62,12,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,90,grafted,stress,50,10,3,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,91,grafted,stress,53,10,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,92,grafted,stress,52,11,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,93,without,stress,62,13,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,94,without,stress,58,13,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,95,without,stress,66,13,5,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,6,ETFE-Folie,96,without,stress,57,12,4,2,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,1,without,without,80,16,3,3,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,2,without,without,73,17,3,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,3,without,without,73,15,2,7,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,4,without,without,75,15,2,10,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,5,grafted,without,68,14,1,6,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,6,grafted,without,70,14,2,6,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,7,grafted,without,70,14,2,15,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,8,grafted,without,76,16,2,7,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,9,grafted,stress,73,13,2,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,10,grafted,stress,65,13,2,8,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,11,grafted,stress,78,14,2,11,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,12,grafted,stress,68,13,2,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,13,without,stress,64,12,2,10,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,14,without,stress,74,15,2,5,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,15,without,stress,77,14,2,2,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,1,Floatglas,16,without,stress,84,14,3,5,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,17,without,without,73,15,2,3,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,18,without,without,74,14,2,11,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,19,without,without,79,17,3,7,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,20,without,without,72,13,2,10,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,21,grafted,without,70,15,1,7,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,22,grafted,without,73,14,2,6,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,23,grafted,without,72,14,2,22,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,24,grafted,without,72,15,2,7,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,25,grafted,stress,78,15,2,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,26,grafted,stress,69,14,2,7,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,27,grafted,stress,70,14,2,10,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,28,grafted,stress,62,12,2,8,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,29,without,stress,77,17,3,5,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,30,without,stress,76,16,2,5,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,31,without,stress,79,16,2,2,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,2,Solarglas,32,without,stress,85,15,2,5,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,33,without,without,81,14,2,7,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,34,without,without,80,15,3,12,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,35,without,without,82,14,3,14,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,36,without,without,78,15,2,14,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,37,grafted,without,73,16,2,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,38,grafted,without,62,13,2,12,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,39,grafted,without,75,16,2,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,40,grafted,without,76,14,2,18,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,41,grafted,stress,75,14,2,8,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,42,grafted,stress,70,14,2,14,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,43,grafted,stress,82,16,2,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,44,grafted,stress,62,14,2,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,45,without,stress,78,15,3,10,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,46,without,stress,84,15,3,4,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,47,without,stress,72,14,2,6,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,3,ETFE-Folie,48,without,stress,79,15,2,4,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,49,without,without,83,15,2,5,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,50,without,without,77,15,2,11,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,51,without,without,70,14,2,12,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,52,without,without,66,13,2,11,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,53,grafted,without,73,12,1,8,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,54,grafted,without,77,15,2,12,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,55,grafted,without,70,13,2,8,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,56,grafted,without,72,14,2,15,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,57,grafted,stress,64,12,2,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,58,grafted,stress,58,12,1,15,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,59,grafted,stress,75,15,2,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,60,grafted,stress,62,12,1,11,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,61,without,stress,70,14,2,7,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,62,without,stress,79,14,2,5,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,63,without,stress,75,13,2,6,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,4,Floatglas,64,without,stress,72,14,2,5,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,65,without,without,64,14,2,20,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,66,without,without,71,14,2,13,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,67,without,without,73,14,2,10,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,68,without,without,70,15,2,11,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,69,grafted,without,80,16,2,23,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,70,grafted,without,84,15,2,8,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,71,grafted,without,75,15,2,10,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,72,grafted,without,65,12,1,14,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,73,grafted,stress,63,15,2,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,74,grafted,stress,61,11,1,14,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,75,grafted,stress,69,16,3,15,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,76,grafted,stress,65,12,2,17,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,77,without,stress,65,15,2,11,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,78,without,stress,64,13,2,7,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,79,without,stress,71,14,2,7,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,5,Solarglas,80,without,stress,78,14,2,10,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,81,without,without,79,15,2,19,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,82,without,without,82,15,2,14,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,83,without,without,78,15,3,15,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,84,without,without,77,16,3,16,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,85,grafted,without,62,16,2,24,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,86,grafted,without,65,13,2,11,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,87,grafted,without,73,15,2,16,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,88,grafted,without,72,13,2,11,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,89,grafted,stress,81,15,2,10,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,90,grafted,stress,67,14,1,15,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,91,grafted,stress,73,13,2,15,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,92,grafted,stress,68,13,1,19,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,93,without,stress,82,15,2,9,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,94,without,stress,74,15,2,7,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,95,without,stress,83,15,2,8,0,0,0,NA,NA,NA,NA,NA
9/24/2018,2,6,ETFE-Folie,96,without,stress,78,14,2,11,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,1,without,without,95,16,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,2,without,without,82,18,4,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,3,without,without,85,15,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,4,without,without,85,15,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,5,grafted,without,80,16,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,6,grafted,without,80,15,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,7,grafted,without,81,15,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,8,grafted,without,84,16,2,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,9,grafted,stress,80,15,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,10,grafted,stress,78,14,2,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,11,grafted,stress,94,16,4,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,12,grafted,stress,76,14,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,13,without,stress,80,13,2,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,14,without,stress,85,15,3,1,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,15,without,stress,91,15,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,1,Floatglas,16,without,stress,100,16,4,1,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,2,Solarglas,17,without,without,80,16,4,2,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,2,Solarglas,18,without,without,88,16,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,2,Solarglas,19,without,without,93,14,4,2,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,2,Solarglas,20,without,without,80,15,3,2,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,2,Solarglas,21,grafted,without,80,15,2,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,2,Solarglas,22,grafted,without,90,14,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,2,Solarglas,23,grafted,without,84,15,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,2,Solarglas,24,grafted,without,82,16,3,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,2,Solarglas,25,grafted,stress,85,16,4,0,0,0,0,NA,NA,NA,NA,NA
10/1/2018,3,2,Solarglas,26,grafted,stress,79,14,3,0,0,0,0,NA,NA,NA,NA,NA
